market,category,cluster,keyword,search_volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid
Sacramento,painting_interior,provider,interior painting contractors,40,3.33,LOW,5,,
Sacramento,painting_interior,provider,interior painting contractors near me,10,0,,,,
Sacramento,painting_interior,provider,interior wall painting contractors,10,0,,,,
Sacramento,painting_interior,provider,local interior painters,10,0,,,,
Sacramento,painting_interior,provider,professional interior painters,10,0,,,,
Sacramento,painting_interior,provider,professional interior painting,10,0,,,,
Sacramento,painting_interior,cost,interior painting cost,20,0,MEDIUM,42,3.14,17.63
Sacramento,painting_interior,cost,interior house painting cost,10,0,LOW,28,6.91,21.63
Sacramento,painting_interior,cost,cost to paint house interior,10,0,LOW,28,6.91,21.63
Sacramento,painting_interior,cost,cost to paint interior walls,10,0,,,,
Sacramento,painting_interior,cost,interior painting estimate,10,0,,,,
Sacramento,painting_interior,cost,interior painting quote,10,0,,,,
Sacramento,painting_interior,cost,interior house painting estimate,10,0,,,,
Sacramento,painting_interior,cost,interior house painting quote,0,0,,,,
Sacramento,painting_interior,cost,interior painter cost,20,0,MEDIUM,42,3.14,17.63
Sacramento,painting_interior,cost,interior painting prices,20,0,MEDIUM,42,3.14,17.63
Sacramento,painting_interior,rooms,whole house interior painting,0,0,,,,
Sacramento,painting_interior,rooms,home interior wall painting,0,0,,,,
Sacramento,painting_interior,rooms,room painting services,10,0,,,,
Sacramento,painting_interior,rooms,living room painters,0,0,,,,
Sacramento,painting_interior,rooms,bedroom painters,0,0,,,,
Sacramento,painting_interior,rooms,kitchen painters,0,0,,,,
Sacramento,painting_interior,rooms,bathroom painters,0,0,,,,
Sacramento,painting_interior,rooms,ceiling painters,10,0,HIGH,100,,
Sacramento,painting_interior,rooms,ceiling painting services,0,0,,,,
Sacramento,painting_interior,rooms,trim painting services,0,0,,,,
Sacramento,painting_interior,rooms,baseboard painting services,0,0,,,,
Sacramento,painting_interior,rooms,cabinet painting services,10,0,LOW,0,,
Sacramento,painting_exterior,core,exterior painters,10,0,LOW,29,,
Sacramento,painting_exterior,core,exterior painter,10,0,LOW,29,,
Sacramento,painting_exterior,core,exterior painters near me,10,45.43,HIGH,83,9.99,26.84
Sacramento,painting_exterior,core,exterior house painters,10,45.49,MEDIUM,59,,
Sacramento,painting_exterior,core,exterior house painter,10,45.49,MEDIUM,59,,
Sacramento,painting_exterior,core,exterior home painters,10,0,,,,
Sacramento,painting_exterior,core,outside house painters,10,45.49,MEDIUM,59,,
Sacramento,painting_exterior,service,exterior painting,10,0,LOW,29,,
Sacramento,painting_exterior,service,exterior house painting,10,45.49,MEDIUM,59,,
Sacramento,painting_exterior,service,exterior home painting,10,0,,,,
Sacramento,painting_exterior,service,exterior wall painting,10,0,,,,
Sacramento,painting_exterior,service,exterior painting services,10,0,LOW,0,,
Sacramento,painting_exterior,service,exterior house painting services,10,0,LOW,9,,
Sacramento,painting_exterior,service,residential exterior painting,10,0,,,,
Sacramento,painting_exterior,service,residential exterior painting services,0,0,,,,
Sacramento,painting_exterior,provider,exterior painting company,10,0,,,,
Sacramento,painting_exterior,provider,exterior painting companies,10,0,,,,
Sacramento,painting_exterior,provider,exterior painting company near me,10,0,LOW,27,,
Sacramento,painting_exterior,provider,exterior painting contractor,70,0,LOW,11,,
Sacramento,painting_exterior,provider,exterior painting contractors,70,0,LOW,11,,
Sacramento,painting_exterior,provider,exterior painting contractors near me,10,0,LOW,27,,
Sacramento,painting_exterior,provider,local exterior painters,10,0,,,,
Sacramento,painting_exterior,provider,professional exterior painters,10,0,,,,
Sacramento,painting_exterior,provider,professional exterior painting,10,0,,,,
Sacramento,painting_exterior,cost,exterior painting cost,10,0,MEDIUM,46,,
Sacramento,painting_exterior,cost,exterior house painting cost,10,12.89,LOW,23,4.6,11.07
Sacramento,painting_exterior,cost,cost to paint house exterior,10,12.89,LOW,23,4.6,11.07
Sacramento,painting_exterior,cost,cost to paint exterior walls,0,0,,,,
Sacramento,painting_exterior,cost,exterior painting estimate,10,0,,,,
Sacramento,painting_exterior,cost,exterior painting quote,10,0,LOW,21,,
Sacramento,painting_exterior,cost,exterior house painting estimate,10,0,,,,
Sacramento,painting_exterior,cost,exterior house painting quote,10,0,LOW,21,,
Sacramento,painting_exterior,cost,exterior painter cost,10,0,MEDIUM,46,,
Sacramento,painting_exterior,cost,exterior painting prices,10,0,MEDIUM,46,,
Sacramento,painting_exterior,surface,stucco painting,10,0,HIGH,74,,
Sacramento,painting_exterior,surface,stucco painters,10,0,HIGH,74,,
Sacramento,painting_exterior,surface,stucco painting services,10,0,LOW,0,,
Sacramento,painting_exterior,surface,brick house painting,10,0,LOW,22,,
Sacramento,painting_exterior,surface,siding painting,10,0,MEDIUM,33,,
Sacramento,painting_exterior,surface,siding painters,0,0,,,,
Sacramento,painting_exterior,surface,wood siding painting,10,0,,,,
Sacramento,painting_exterior,surface,house trim painting,10,0,,,,
Sacramento,painting_exterior,surface,front door painting service,10,0,,,,
Sacramento,painting_exterior,surface,garage door painting service,10,0,,,,
Sacramento,painting_general,core,house painters,20,3.12,MEDIUM,39,8.43,20.02
Sacramento,painting_general,core,house painter,20,3.12,MEDIUM,39,8.43,20.02
Sacramento,painting_general,core,house painters near me,90,10.89,HIGH,74,9.02,21.33
Sacramento,painting_general,core,home painters,10,0,,,,
Sacramento,painting_general,core,residential painters,10,2.26,HIGH,86,,
Sacramento,painting_general,core,residential painters near me,10,0,LOW,7,,
Sacramento,painting_general,service,house painting,40,1.41,HIGH,81,1.61,12.3
Sacramento,painting_general,service,house painting services,10,85.59,MEDIUM,40,,
Sacramento,painting_general,service,home painting services,10,85.59,MEDIUM,40,,
Sacramento,painting_general,service,residential painting,10,2.26,HIGH,86,,
Sacramento,painting_general,service,residential painting services,10,0,,,,
Sacramento,painting_general,provider,painting company,50,0,HIGH,78,3.61,21
Sacramento,painting_general,provider,painting companies,50,0,HIGH,78,3.61,21
Sacramento,painting_general,provider,painting company near me,140,12.78,HIGH,93,8.15,31
Sacramento,painting_general,provider,painting contractor,30,11.19,LOW,24,,
Sacramento,painting_general,provider,painting contractors,30,11.19,LOW,24,,
Sacramento,painting_general,provider,painting contractors near me,40,21.61,HIGH,67,19.12,33.91
Sacramento,painting_general,provider,local painting company,10,11.73,HIGH,95,,
Sacramento,painting_general,provider,local house painters,10,0,MEDIUM,63,,
Sacramento,painting_general,provider,professional house painters,10,0,LOW,0,,
Sacramento,painting_general,cost,house painting cost,10,5.59,MEDIUM,39,1.59,14.07
Sacramento,painting_general,cost,cost to paint a house,10,5.59,MEDIUM,39,1.59,14.07
Sacramento,painting_general,cost,house painting estimate,10,0,HIGH,71,,
Sacramento,painting_general,cost,house painting quote,10,0,,,,
Sacramento,painting_general,cost,painting estimate,10,27.51,HIGH,100,10.72,36.42
Sacramento,painting_general,cost,painting quote,10,21.26,MEDIUM,46,6.59,17.72
Sacramento,painting_general,cost,free painting estimate,10,0,,,,
Sacramento,wallpaper,core,wallpaper installer,20,3.56,HIGH,87,4.56,11.26
Sacramento,wallpaper,core,wallpaper installers,20,3.56,HIGH,87,4.56,11.26
Sacramento,wallpaper,core,wallpaper installer near me,20,4.64,MEDIUM,62,4.81,9.8
Sacramento,wallpaper,core,wallpaper installation,20,3.56,HIGH,87,4.56,11.26
Sacramento,wallpaper,core,wallpaper installation near me,20,4.64,MEDIUM,62,4.81,9.8
Sacramento,wallpaper,core,wallpaper installation service,10,0,LOW,0,,
Sacramento,wallpaper,core,wallpaper installation services,10,0,LOW,0,,
Sacramento,wallpaper,core,wallpaper hanging,10,0.01,LOW,21,,
Sacramento,wallpaper,core,wallpaper hanging near me,10,37.06,HIGH,100,,
Sacramento,wallpaper,core,wallpaper hanging service,10,0,,,,
Sacramento,wallpaper,core,wallpaper hanging services,10,0,,,,
Sacramento,wallpaper,core,wallpaper hanger,10,0.01,LOW,21,,
Sacramento,wallpaper,core,wallpaper hangers,10,0.01,LOW,21,,
Sacramento,wallpaper,core,wallpaper hanger near me,10,37.06,HIGH,100,,
Sacramento,wallpaper,provider,wallpaper installation company,10,0,,,,
Sacramento,wallpaper,provider,wallpaper installation contractor,0,0,,,,
Sacramento,wallpaper,provider,wallpaper installation contractors,0,0,,,,
Sacramento,wallpaper,provider,professional wallpaper installer,10,0,HIGH,86,,
Sacramento,wallpaper,provider,professional wallpaper installer near me,10,0,,,,
Sacramento,wallpaper,provider,professional wallpaper installation,10,0,HIGH,86,,
Sacramento,wallpaper,provider,professional wallpaper hanging,10,0,,,,
Sacramento,wallpaper,provider,local wallpaper installer,0,0,,,,
Sacramento,wallpaper,provider,hire wallpaper installer,10,3.6,HIGH,71,,
Sacramento,wallpaper,cost,wallpaper installer cost,10,0,LOW,11,,
Sacramento,wallpaper,cost,wallpaper installation cost,10,0,LOW,11,,
Sacramento,wallpaper,cost,cost to install wallpaper,10,0,LOW,11,,
Sacramento,wallpaper,cost,wallpaper hanging cost,0,0,,,,
Sacramento,wallpaper,cost,cost to hang wallpaper,0,0,,,,
Sacramento,wallpaper,cost,wallpaper installation estimate,0,0,,,,
Sacramento,wallpaper,cost,wallpaper installation quote,0,0,,,,
Sacramento,wallpaper,cost,wallpaper installer prices,0,0,,,,
Sacramento,wallpaper,cost,professional wallpaper installer cost,10,0,,,,
Sacramento,wallpaper,type,peel and stick wallpaper installer,10,0,,,,
Sacramento,wallpaper,type,peel and stick wallpaper installation,10,0,,,,
Sacramento,wallpaper,type,mural wallpaper installer,0,0,,,,
Sacramento,wallpaper,type,wall mural installation,10,0,,,,
Sacramento,wallpaper,type,grasscloth wallpaper installer,0,0,,,,
Sacramento,wallpaper,type,grasscloth wallpaper installation,10,0,,,,
Sacramento,wallpaper,type,textured wallpaper installation,0,0,,,,
Sacramento,wallpaper,type,vinyl wallpaper installation,10,1.08,MEDIUM,57,,
Sacramento,wallpaper,type,custom wallpaper installation,0,0,,,,
Sacramento,wallpaper,type,residential wallpaper installation,0,0,,,,
Sacramento,floristry,occasion,birthday flowers,390,1.23,HIGH,100,0.52,4.88
Sacramento,floristry,delivery,flower delivery,880,9.61,HIGH,100,3.44,8.18
Sacramento,floristry,core,flowers,8100,3.25,HIGH,87,2.47,6.15
Sacramento,floristry,custom,personalized bouquets from local florists,0,0,,,,
Sacramento,floristry,roses,rose bouquets,170,0.95,HIGH,100,1.26,2.5
Sacramento,floristry,delivery,same day flower delivery,260,12.9,HIGH,98,4.46,10.23
Sacramento,floristry,occasion,sympathy flowers,50,4.61,HIGH,100,1.55,3.8
Sacramento,floristry,wedding,wedding flowers,90,0.96,HIGH,100,0.46,2.86
Sacramento,floristry,occasion,anniversary flowers,20,2.52,HIGH,86,1.96,4.67
Sacramento,floristry,occasion,apology flowers,10,0,HIGH,100,,
Sacramento,floristry,wedding,bridal bouquets,70,0.68,HIGH,100,0.78,4.17
Sacramento,floristry,occasion,congratulations flowers,10,0,HIGH,73,,
Sacramento,floristry,corporate,corporate flowers,10,0,,,,
Sacramento,floristry,custom,custom bouquets,10,0,HIGH,100,,
Sacramento,floristry,event,event flower arrangements,10,0,,,,
Sacramento,floristry,wedding,flowers for newlyweds,10,0,,,,
Sacramento,floristry,occasion,get well flowers,10,4.11,HIGH,100,,
Sacramento,floristry,occasion,housewarming flowers,10,0,HIGH,100,,
Sacramento,floristry,occasion,just because flowers,10,0,HIGH,100,,
Sacramento,floristry,luxury,luxury bouquets,10,3.14,LOW,29,,
Sacramento,floristry,occasion,new baby flowers,10,2.6,HIGH,100,,
Sacramento,floristry,occasion,romantic flowers,10,0.42,HIGH,100,,
Sacramento,floristry,occasion,thank you flowers,10,0,HIGH,74,,
Sacramento,floristry,wedding,bridal bouquet,70,0.68,HIGH,100,0.78,4.17
Sacramento,floristry,event,event flowers,10,0,,,,
Sacramento,floristry,event,floral centerpieces,10,0.64,HIGH,96,0.53,1.09
Sacramento,floristry,core,florist,880,4.16,MEDIUM,62,1.97,6
Sacramento,floristry,event,flower centerpieces,10,0.46,HIGH,100,,
Sacramento,floristry,core,flower shop,720,1.63,MEDIUM,48,1.28,4.19
Sacramento,floristry,core,local florist,10,1.48,HIGH,93,2.54,10.77
Sacramento,floristry,custom,personalized bouquets,10,0,HIGH,100,,
Sacramento,floristry,roses,rose bouquet,170,0.95,HIGH,100,1.26,2.5
Sacramento,floristry,roses,roses,2900,0.27,MEDIUM,54,0.61,2.95
Sacramento,floristry,delivery,send flowers,110,7.03,HIGH,100,2.63,7.75
Sacramento,floristry,event,table flower arrangements,10,0.37,HIGH,95,,
Sacramento,floristry,wedding,wedding gift flowers,10,0,,,,
Sacramento,water_heater,tankless,tankless water heater cost,110,10.97,HIGH,95,3.69,10.74
Sacramento,water_heater,cost,water heater cost,30,10.69,HIGH,82,1,9.37
Sacramento,water_heater,cost,hot water heater replacement cost,10,3.95,HIGH,82,5.49,31.46
Sacramento,water_heater,cost,hot water heater cost,10,4.41,HIGH,67,3.22,14.76
Sacramento,water_heater,tankless,tankless water heater installation gas,10,0,MEDIUM,62,,
Sacramento,water_heater,installation,tank water heater install,10,0,,,,
Sacramento,water_heater,replacement,water heater service,20,42.96,HIGH,71,51.31,92.44
Sacramento,water_heater,tankless,tankless electric water heater installation,10,0,LOW,0,,
Sacramento,water_heater,tankless,tankless water heater replacement cost,90,8.97,LOW,26,5.04,15.6
Sacramento,water_heater,tankless,tankless water heater price,10,0,HIGH,84,5.41,9.72
Sacramento,water_heater,tankless,electric tankless water heater cost,10,10.79,MEDIUM,43,,
Sacramento,water_heater,tankless,tankless water heater service,10,0,MEDIUM,33,,
Sacramento,water_heater,tankless,replace tankless water heater,10,2.17,MEDIUM,43,,
Sacramento,water_heater,cost,hot water heater installation cost,10,0,MEDIUM,43,,
Sacramento,water_heater,electric,electric water heater cost,10,0,LOW,0,,
Sacramento,water_heater,electric,electric water heater replacement cost,10,0,LOW,29,,
Sacramento,water_heater,gas,gas water heater cost,10,0,HIGH,86,,
Sacramento,water_heater,heat_pump,heat pump water heater cost,10,11.86,HIGH,76,0.84,9.36
Sacramento,water_heater,tankless,propane tankless water heater installation,10,0,,,,
Sacramento,water_heater,tankless,tankless water heater installation services,10,0,,,,
Sacramento,water_heater,tankless,tankless gas water heater cost,10,0,,,,
Sacramento,water_heater,tankless,gas tankless water heater cost,10,0,,,,
Sacramento,water_heater,gas,gas hot water heater cost,10,0,,,,
Sacramento,water_heater,electric,electric hot water heater installation cost,10,0,,,,
Sacramento,water_heater,gas,gas hot water heater installation,10,0,,,,
Sacramento,water_heater,electric,electric hot water heater installation,10,0,,,,
Sacramento,water_heater,tankless,natural gas tankless water heater installation,10,0,LOW,0,,
Sacramento,water_heater,tankless,gas tankless hot water heater installation,10,0,,,,
Sacramento,water_heater,electric,hot water heater installation electric,10,0,,,,
Sacramento,water_heater,tankless,tankless water heater company,10,0,,,,
Sacramento,water_heater,tankless,cost to install electric tankless hot water heater,0,0,,,,
Sacramento,painting_interior,service,interior door painting services,10,0,LOW,0,,
Sacramento,painting_interior,provider,house interior painting contractors,10,0,,,,
Sacramento,painting_interior,provider,interior home painting company,0,0,,,,
Sacramento,painting_interior,provider,interior house painting companies,0,0,,,,
Sacramento,painting_interior,cost,interior house painting estimates,10,0,,,,
Sacramento,painting_interior,service,cheap interior painters,0,0,,,,
Sacramento,painting_interior,provider,interior home painting contractors,10,0,,,,
Sacramento,painting_interior,cost,interior home painting estimate,0,0,,,,
Sacramento,painting_interior,service,home interior painting services,10,0,,,,
Sacramento,painting_interior,cost,interior painters quotes,10,0,,,,
Sacramento,painting_interior,service,residential house interior painting,0,0,,,,
Sacramento,painting_exterior,service,painting services,20,19.41,MEDIUM,46,7.93,20.43
Sacramento,painting_exterior,service,local painting services,10,0,,,,
Sacramento,painting_exterior,residential,professional house painter,10,0,LOW,0,,
Sacramento,painting_exterior,provider,house painting contractors,10,0,,,,
Sacramento,painting_exterior,provider,professional painting contractors,10,0,LOW,0,,
Sacramento,painting_exterior,provider,local painting contractors,10,0,,,,
Sacramento,painting_exterior,provider,house exterior painting contractor,10,0,MEDIUM,43,,
Sacramento,painting_exterior,service,exterior painting professional,10,0,LOW,11,,
Sacramento,painting_exterior,provider,professional house painting contractor,10,0,LOW,0,,
Sacramento,painting_exterior,provider,professional house painting contractors,10,0,LOW,0,,
Sacramento,painting_exterior,residential,professional exterior house painters,10,0,,,,
Sacramento,painting_exterior,residential,professional home painters,10,0,,,,
Sacramento,painting_exterior,residential,professional residential painters,0,0,,,,
Sacramento,floristry,occasion,valentines flowers,720,0,LOW,0,,
Sacramento,floristry,arrangements,flower bouquet,480,1.22,HIGH,99,1.1,4.18
Sacramento,floristry,sympathy,funeral flowers,210,2.9,HIGH,100,1.17,3.33
Sacramento,floristry,sympathy,funeral flower arrangements,140,2.01,HIGH,100,1.06,2.81
Sacramento,floristry,arrangements,flower bouquet near me,90,1.55,HIGH,99,1.02,2.56
Sacramento,floristry,delivery,flower delivery service,40,9.07,HIGH,99,2.81,8.78
Sacramento,floristry,wedding_event,boutonniere wedding,50,0,MEDIUM,60,,
Sacramento,floristry,delivery,flower delivery services online,30,0,LOW,0,,
Sacramento,floristry,delivery,online flower delivery,20,7.3,HIGH,100,3.66,6.15
Sacramento,floristry,delivery,cheap flower delivery,30,4.25,HIGH,100,2.21,5.6
Sacramento,floristry,core,same day flowers,20,11.74,HIGH,83,2.49,8.17
Sacramento,floristry,delivery,deliver flowers,880,9.61,HIGH,100,3.44,8.18
Sacramento,floristry,delivery,send flowers online,20,9.24,HIGH,100,4.01,8.15
Sacramento,floristry,sympathy,funeral flowers delivery,20,0,HIGH,100,,
Sacramento,floristry,wedding_event,corsage flower,30,0,MEDIUM,41,,
Sacramento,floristry,occasion,mother's day flower delivery,20,0,LOW,0,,
Sacramento,floristry,delivery,best flower delivery,10,8.19,HIGH,100,3.43,8.75
Sacramento,floristry,delivery,flower bouquet delivery,20,6.86,HIGH,100,2.04,4.39
Sacramento,floristry,wedding_event,wedding flower bouquets,20,0,HIGH,67,,
Sacramento,floristry,delivery,flower delivery today,10,15.12,HIGH,100,2.2,10.36
Sacramento,floristry,delivery,local flower delivery,10,6.66,HIGH,93,2.61,7.13
Sacramento,floristry,delivery,fresh flower delivery,20,2.95,MEDIUM,51,1.31,2.53
Sacramento,floristry,sympathy,sympathy flowers delivery,10,8.08,HIGH,100,2.33,7.31
Sacramento,floristry,delivery,best online flower delivery,10,6.54,HIGH,99,3.67,6.58
Sacramento,floristry,occasion,valentines flower bouquet,20,0,MEDIUM,57,,
Sacramento,floristry,occasion,mother's day flowers delivery,20,0,LOW,0,,
Sacramento,floristry,arrangements,fresh flower bouquet,10,2.84,HIGH,100,1.98,6
Sacramento,floristry,wedding_event,rose bridal bouquet,10,0,HIGH,100,,
Sacramento,floristry,delivery,flower delivery same day,260,12.9,HIGH,98,4.46,10.23
Sacramento,floristry,delivery,best flower delivery services,10,9.49,HIGH,100,2.91,6.46
Sacramento,floristry,arrangements,custom flower bouquet,10,0,HIGH,100,,
Sacramento,floristry,sympathy,sympathy flower arrangements,10,0,HIGH,100,,
Sacramento,floristry,core,florist flowers,10,0,MEDIUM,50,,
